Beseda,Števec
biti,10553
da,6709
ta,6381
in,6253
jesti,6161
v,4474
na,3858
za,3734
se,3555
pa,3471
ne,2715
tudi,2664
ki,2288
jaz,2045
o,1649
še,1549
lep,1524
on,1439
zakon,1406
tak,1353
ves,1351
seveda,1316
s,1235
kot,1228
z,1173
če,1128
razprava,1038
kolega,968
predlog,960
ali,935
sem,913
imeti,864
ozir,861
odbor,843
k,842
kdo,829
zadeva,765
tukaj,761
člen,758
ampak,721
kar,713
gospa,712
socialen,696
skupina,695
ti,684
državen,679
nek,668
lahek,661
beseda,661
tisti,654
po,654
iz,647
želeti,644
pri,635
delo,634
slovenija,630
sam,625
seja,625
drug,588
do,566
poslanski,544
ker,541
točka,526
gospoda,522
že,518
vlada,514
kolegica,513
si,510
sklep,504
glasovati,498
ministrstvo,498
svoj,498
let,494
desus,481
področje,480
več,477
zelo,476
del,467
povedati,467
hvala,462
en,456
misliti,442
nekaj,441
iti,432
država,431
predlagati,423
ko,422
potem,417
–,413
verjeti,412
amandmaj,408
glasovanje,405
način,388
potreben,385
kakšen,381
mora,380
oda,377
sprejet,376
žeti,376
dober,372
torej,368
izvolitehvala,360
mali,359
naš,359
proračun,354
mnenje,353
kaj,352
prav,348
sredstvo,346
zbor,344
družina,344
kateri,343
ob,342
proti,335
prositi,334
takšen,332
amand,326
spoštovan,326
vedeti,323
treba,322
ter,317
sprememba,315
red,314
predvsem,313
ugotavljati,312
stran,311
velik,308
naslednji,305
1,303
vaš,303
članov,301
ukrep,300
sicer,298
zdaj,298
glede,296
dneven,296
predstavnik,292
zato,280
invalid,276
razpravljati,275
moj,274
vendarle,267
videti,261
nekateri,260
čas,253
dan,250
javen,249
noben,248
prejeti,248
prvi,245
morda,245
poslanec,243
republika,243
svet,242
dobiti,241
prehajati,241
pravica,238
govoriti,237
podpreti,236
kratek,234
enkrat,234
uvod,232
leto,232
služba,228
nov,227
deloven,223
koalicijski,222
bolj,222
nadaljevanje,219
pač,218
vsak,217
finančen,217
dva,216
danes,215
konec,213
predlagatelj,209
kak,206
dodaten,206
dati,205
banka,205
pomen,204
sedaj,204
obravnava,203
predsednik,198
možnost,197
sprejeti,197
namesto,197
rešitev,196
narediti,194
med,194
saj,193
2,190
naj,190
nihče,189
zaključevati,188
podlaga,186
politika,182
skupaj,182
človek,176
bit,175
zakonodajnopraven,174
prepričan,173
10,172
priti,171
stališče,170
ministrica,169
tu,167
vprašanje,167
pokojnina,167
namen,166
oba,166
mogoč,165
pod,165
razlog,162
rečen,161
dovoliti,161
dolg,161
zveza,160
amandmajati,157
bistven,157
glas,156
maribor,156
verjeten,155
prej,155
postopek,154
član,154
kjer,154
izvoliti,153
morati,152
strinjati,152
ever,150
podjetje,150
vesel,150
pred,150
cilj,149
mesto,148
tolik,148
nadaljevati,147
sklad,147
otrok,147
2015,146
finance,146
obrazložitev,145
naprej,145
prijaviti,145
položaj,144
11,142
odpirati,142
poročilo,141
dejstvo,140
slovenski,139
pojbič,139
posamezen,138
3,137
reklo,136
iskren,136
jasen,136
razumeti,135
gospodarski,135
vabiti,135
vedno,134
pozitiven,133
doseči,132
oseben,132
zdeti,132
nujen,132
davčen,131
zavarovanje,131
upati,130
dalja,130
najbolj,130
dejanski,130
enak,130
res,130
končen,129
delati,129
stranka,129
skozi,129
dajati,128
raven,128
določen,128
plača,127
širok,127
ostal,126
pomemben,126
čim,126
hkrati,125
trije,125
razpravljavec,125
pokojninski,124
zakaj,124
hoteti,122
obdobje,122
dr,121
breza,121
nekak,121
manj,119
slab,119
predpis,119
trenutek,119
koalicija,119
nazadnje,118
sistem,118
gospodarstvo,118
imenovan,117
primer,117
pravi,117
rok,117
upokojenec,116
pričakovati,115
priprava,115
združen,114
nič,114
podpirati,113
poslanka,113
lepahvala,113
slišati,112
zahteva,111
proceduralen,110
sklic,109
podatek,109
mesec,109
reč,109
pooblastilo,109
pogovarjati,108
obravnavati,108
želja,107
izvolihvala,105
občina,104
konkreten,103
gradivo,103
minister,103
5,103
levica,103
poslovnik,103
minimalen,102
predstavnica,102
visok,102
posebej,102
začeti,102
zadnji,102
mena,101
trg,101
faza,101
prisoten,101
predstaviti,101
zaposlovanje,101
ocena,100
dosti,100
zaposlen,99
potreba,99
zaradi,99
zagotoviti,98
evropski,98
sindikat,98
ocenjevati,98
izobraževanje,98
telo,97
program,97
sodelovati,97
invalidski,96
varstvo,96
pripravništvo,96
odločitev,96
število,96
družinski,95
komisija,95
žalost,94
4,94
odločiti,94
milijon,93
mnog,93
sodišče,92
kolikor,92
vložen,92
replik,92
kordeti,92
pojasniti,92
