Priimek,Števec
prikl,44
tomić,2
trček,24
ban,0
cink,6
ferluga,11
kavčič,5
kotnik,3
prelog,6
ranc,4
šergan,22
zorčič,2
dekleva,3
brglez,0
košnik,5
horvat,120
koleša,3
kramar,5
matić,2
murgel,5
rajić,2
shaker,22
dolinšek,3
škodnik,5
škopac,15
zajc,7
zorman,25
gantar,4
hainz,3
hršak,3
kotnik,3
levičar,2
battelli,53
breznik,3
brinovšek,12
grims,2
irgl,0
lep,1537
logar,69
mahnič,6
podkrajšek,8
pojbič,1
šircelj,143
muršič,3
nemec,4
horvat,120
vrtovec,14
kovačič,15
hanžek,2
kordiš,20
škoberne,9
vilfan,5
veber,47
krajnc,1
janša,2
göncz,0
tanko,13
novak,2
han,4
sluga,6
tonin,10
jurša,4
gorenak,1
vervega,9
potočnik,4
kopmajer,4
žibert,1
godec,9
krivec,0
lisec,4
pogačnik,109
žnidar,0
dimic,3
tašner,0
bizjak,3
lipicer,4
möderndorfer,8
verbič,56
mesec,197
čuš,5
laj,12
ljubič,0
počkaj,0
bratušek,109
lah,5
dobovšek,22
bačič,0
klanjšček,5
radič,1
tabaković,3
