Beseda,Števec
jesti,5707
biti,5111
in,4388
za,3888
v,3104
ta,2978
kdo,2812
da,2640
na,2559
člen,2458
o,2105
amand,2074
razprava,1898
glasovati,1579
lep,1537
zakon,1480
predlog,1347
članov,1316
k,1303
se,1293
dajati,1276
proti,1241
sprejet,1176
ki,1162
gospoda,1144
odbor,1107
tudi,1091
skupina,1088
poslanski,1017
amandmaj,998
še,959
s,944
državen,923
beseda,915
ugotavljati,866
seja,849
z,840
nihče,831
on,785
pa,785
ne,744
slovenija,716
finance,707
12,675
imeti,674
kot,660
točka,658
izvolitehvala,635
prehajati,574
glasovanje,573
ves,565
do,516
tak,507
mnenje,491
koalicijski,488
če,464
predlagati,461
banka,459
11,448
zbor,443
red,443
gospa,442
koalicija,436
sklep,433
dneven,430
izvoliti,429
vlada,429
naslednji,414
žeti,413
1,410
razpravljati,407
zaključevati,405
obravnava,395
član,386
ministrstvo,383
poslanec,372
drug,371
kateri,365
amandmajati,365
služba,364
po,349
zakonodajnopraven,340
jaz,339
že,338
vložen,338
potem,337
ter,318
predstavnik,318
oda,316
ozir,309
politika,306
republika,303
ti,302
razpravljavec,301
najprej,284
ali,278
proračun,275
sklad,269
sicer,268
zato,262
odpirati,261
lahek,253
let,250
leto,250
iz,247
kar,244
2,241
2015,241
sredstvo,238
monetaren,237
predlagatelj,232
javen,231
obrazložitev,230
prejeti,230
proračunski,225
poročilo,221
pri,220
gospod,219
sam,217
3,216
dobiti,215
dan,214
stran,211
združen,210
svet,210
odločanje,207
levica,207
podlaga,206
uporabnik,206
zdaj,205
danes,204
predstavnica,204
sprememba,202
želeti,199
sem,198
2014,198
nov,198
4,198
mesec,197
nujen,197
današnji,196
poslovnik,195
tukaj,190
sds,189
glede,187
država,187
5,186
iti,184
povedati,183
sprejeti,182
deloven,180
evropski,179
10,177
ja,174
slovenski,173
finančen,173
del,173
komisija,169
skupaj,168
fiskalen,167
6,165
namesto,165
podati,163
nadaljevanje,163
ker,161
en,160
dva,159
telo,158
dodaten,156
poslanka,156
postopek,155
sedaj,155
več,154
obravnavati,154
podpora,153
vložiti,152
kolikor,151
posamezen,149
–,148
vabiti,148
vprašanje,147
prvi,145
predlagan,144
šircelj,143
zahteva,139
gradivo,138
uvoden,138
svoj,135
okvir,134
glas,133
ever,131
družba,131
h,129
odgovor,129
prositi,127
sekretarka,126
hvala,125
sodišče,125
milijon,125
matičen,124
strinjati,123
ob,122
horvati,120
določen,120
luk,119
naš,116
davčen,116
kjer,115
podprogram,115
predsednik,115
posredovati,114
pravi,114
nadzor,112
kakšen,112
obveščati,110
pogačnik,109
bratušek,109
ko,108
rok,108
sodelovati,108
vaš,108
gospodarski,106
dati,105
velik,105
gospodarstvo,105
ukrep,105
13,104
sd,103
upravljanje,103
nadaljevati,102
dr,99
priporočiti,99
naprej,98
ostal,98
kaj,97
spraševati,97
sklic,96
oba,96
isti,95
način,95
prijavljen,93
dopolnitev,91
občina,90
zaključiti,90
prej,90
poročiti,89
cilj,89
podpirati,88
zaradi,88
prav,88
2016,87
prisoten,87
priprava,86
stranka,85
pregled,85
enkrat,85
tisti,85
minister,85
9,85
besedohvala,85
rebalans,84
replik,83
8,83
nekaj,82
alenka,81
zadeva,81
področje,81
začenjati,81
sistem,81
božič,81
pod,81
račun,79
maga,79
leten,78
rešitev,78
predložiti,78
torej,77
zadnji,77
7,76
sekretar,76
naveden,76
mogoč,75
dragonja,75
14,75
predvsem,75
odločitev,75
dutba,74
vraničar,74
primer,74
odstavek,73
treba,73
saj,73
pričenjati,73
nek,73
agencija,73
konec,73
demokratski,72
davek,72
potreben,72
program,72
morati,71
dober,71
marka,71
dopolniti,71
možnost,70
mora,70
pravilo,70
tretji,70
15,69
logar,69
bdp,69
ocena,68
pomen,68
nekateri,68
čas,67
smca,67
praven,66
primanjkljaj,65
zveza,65
raven,64
2013,64
trije,64
turizem,63
članica,63
obrt,63
odločati,62
strukturen,62
stališče,61
vrednost,61
določati,61
naj,61
odlok,61
priti,60
strategija,60
misliti,60
pač,60
naložba,60
predstavitev,60
nanašati,60
nadomeščati,59
nadaljnji,59
strošek,59
moči,59
pred,59
2017,57
16,57
spoštovan,57
uprava,57
računski,56
verbič,56
med,56
omogočati,56
terjatev,55
rast,55
določba,55
tilen,55
dušan,55
razvoj,55
pomemben,55
morda,55
kolega,55
podatek,54
dolg,54
pojasniti,54
postopkoven,54
stabilnost,54
poslovniški,53
ampak,53
vsak,53
battell,53
kapitalski,53
predstaviti,53
pripomba,53
izvajanje,53
začetek,53
mesto,53
dokument,52
17,52
noben,52
brezpredmeten,52
socialen,52
seveda,51
vsebinski,51
pozdraviti,51
bančen,51
visok,51
moj,51
obdobje,51
enak,51
delovanje,50
trg,50
slab,50
dohodnina,50
unija,50
mateja,49
zakonski,49
reklo,49
povečanje,49
izvrševanje,49
pogoj,49
kratek,49
res,49
vključiti,49
višina,49
primeren,49
skupen,48
poraba,48
akt,48
ustrezen,48
oglašanje,48
meniti,48
vedeti,48
stanje,47
pozdravljati,47
podjetje,47
naslov,47
javnofinančen,47
veber,47
prodaja,46
seznaniti,46
21,46
ključen,46
končan,46
delo,45
obrazložiti,45
sestaven,45
takšen,45
horvathvala,45
določiti,45
premoženje,45
prikl,44
pobuda,44
bolj,44
verjeten,44
ustava,44
udeležiti,44
upoštevati,44
uroš,44
kolegica,43
pojasnilo,43
mednaroden,43
poleg,43
uporaba,43
organ,43
poudariti,43
besedilo,43
reševanje,42
18,42
pooblastilo,42
predložen,42
projekt,42
križanič,42
predviden,41
robert,41
sektor,41
zavarovalen,41
kljub,41
desus,41
celota,41
30,41
pripraviti,41
opraviti,41
srednjeročen,41
obveznost,41
praviti,41
zaključek,40
potek,40
pomoč,40
informacija,40
nepovezan,40
poglavje,40
si,39
poslovanje,39
vraničarjev,39
načrt,39
pakt,39
19,39
konkreten,39
povezan,38
izvolitegospoda,38
blagajna,38
sprejetje,38
preden,38
omenjen,38
poroštvo,38
ustaven,37
privatizacija,37
razmera,37
združenje,37
mramor,37
dejavnost,37
zagotoviti,36
dejanski,36
uvod,36
ekonomski,36
pisen,36
pravica,36
začeti,36
širceljhvala,35
uravnoteženje,35
zelo,35
krščanski,35
predsednica,35
urejati,35
videti,34
povečati,34
sprejem,34
pripravljen,34
poročati,34
irena,34
vladen,34
pogačnikhvala,34
namreč,34
e,34
okolje,34
bit,34
ime,34
ureditev,34
centralen,34
investicijski,33
številka,33
vsebina,33
hvalahvala,33
zagotavljati,33
jasen,33
prihodek,33
zgolj,32
povedan,32
zavezanec,32
minimalen,32
medij,32
kak,32
izmed,32
zakonodaja,32
sanacija,32
posojilo,32
proceduralen,32
financiranje,32
morala,32
izpostaviti,32
umik,31
delež,31
last,31
vendar,31
razvojen,31
dopolnjen,31
vložitev,31
dejstvo,31
pooblastiti,31
nekak,31
poseben,31
namen,31
vrsta,31
takrat,31
zaključen,30
jožef,30
razlog,30
izvoliteizvoliti,30
demokrat,30
ponoven,30
prebrati,30
odhodek,30
učinkovit,30
trenuten,30
celoten,30
dodati,30
posledica,29
milijarda,29
določilo,29
nizek,29
nad,29
ustavnost,29
veljati,29
predstavljati,29
40,29
storitev,29
suzan,29
d,28
opredeliti,28
dama,28
plača,28
vedno,28
posloven,28
aktivnost,28
zavarovanje,28
podpredsednik,28
pričakovati,28
splošen,28
podpreti,27
njihov,27
tisoč,27
oseba,27
določitev,27
128,27
dopolnilen,27
reprezentanca,27
četrti,27
vključen,27
31,27
franc,27
različen,27
nalog,27
izpostavljen,26
vloga,26
mera,26
faza,26
pogodba,26
izdatek,26
revidiranje,26
nasprotovanje,26
predsedujoč,26
reden,26
miza,26
lepahvala,26
mali,26
20,26
tikati,26
učinkovitost,26
učinek,25
prihodnji,25
zadolževanje,25
večina,25
povečevati,25
breza,25
osnoven,25
šimenka,25
andreja,25
opozoriti,25
posebej,25
23,25
postavka,25
pristojnost,25
odgovoriti,25
kolegij,25
zorman,25
opredelitev,25
širok,25
oblika,24
obseg,24
trček,24
sodina,24
