Beseda,Števec
biti,613
in,550
v,509
ta,451
jesti,422
da,289
za,282
na,275
ki,234
se,230
pa,163
tudi,151
zakon,123
on,113
o,112
s,103
kot,102
z,101
let,92
ves,86
ne,83
ali,83
tak,78
ozir,77
še,76
torej,68
imeti,67
do,66
slovenija,64
že,63
šola,63
kar,62
izobraževanje,58
pomemben,55
program,54
po,54
en,53
oda,52
zelo,48
lahek,48
drug,48
skupnost,46
glede,46
sprememba,46
prav,44
kateri,44
ministrstvo,44
skupina,43
jaz,43
velik,42
naj,42
iz,41
evropski,40
spoštovan,40
svoj,39
pri,39
ter,39
del,39
slovenski,38
javen,37
hvalahvala,37
vprašanje,37
državen,37
kvalifikacija,35
lep,35
zaradi,34
agraren,34
država,34
pravica,33
različen,32
otrok,31
področje,31
podatek,31
sistem,31
vsebina,31
treba,30
sam,30
delež,30
cilj,30
zato,30
učen,30
predvsem,29
ker,29
med,28
sklad,28
ukrep,28
slišati,28
raven,28
ogrodje,27
danes,27
k,26
razvoj,26
tisti,26
strokoven,26
deloven,26
predlog,26
vlada,26
kmetijstvo,25
člen,25
nekaj,25
nekak,25
mogoč,25
predmet,25
vzgoja,24
spremenjen,24
primer,24
več,24
poslanski,24
center,24
stran,23
možnost,23
genski,23
posebej,23
mora,23
naš,23
dober,23
nekateri,23
ekološki,22
kmetijski,22
poklicen,22
leto,22
seveda,22
sem,22
vendar,22
kolega,22
potem,22
izobraževalen,21
ostal,21
ministrica,21
okolje,21
sredstvo,20
nek,20
državljanski,20
podpreti,20
gospoda,20
razmera,20
kak,20
beseda,20
kolegica,19
potreba,19
nov,19
rešitev,19
pravzaprav,19
osnoven,19
strinjati,18
pred,18
nacionalen,18
rada,18
pogoj,18
problematika,18
dijak,18
če,18
povedati,18
mlad,18
tisoč,17
pomen,17
delovanje,17
razlog,17
rastlina,17
zaseben,17
lastnina,17
sedaj,17
socialen,17
poročilo,17
delo,16
moči,16
vajeništvo,16
pravi,16
zakonski,16
bolj,16
omeniti,16
prvi,16
potreben,16
kjer,16
gospodarstvo,16
iti,16
misliti,16
kazati,16
–,16
gozd,16
član,15
gospa,15
ustrezen,15
podpirati,15
takšen,15
republika,15
leten,15
kakšen,15
stopnja,15
finančen,15
lokalen,15
šolstvo,15
visok,15
zemljišče,15
trije,15
obdobje,15
kakovost,15
problem,15
domovinski,15
sklep,14
šolski,14
znanost,14
prisoten,14
čas,14
starš,14
kaj,14
ko,14
obveznost,14
morati,14
dva,14
število,14
hrana,14
navajati,14
oseba,14
2013,14
omogočati,14
učitelj,14
omenjen,14
izvajati,14
določen,14
priprava,14
dejanski,13
predsednik,13
direktiva,13
meniti,13
učenec,13
dejavnost,13
prej,13
saj,13
zadeva,13
posledica,13
mesto,13
povečati,13
reči,13
znotraj,13
skupen,13
razprava,13
zbor,13
raziskovalen,13
upravljanje,13
nujen,13
načrt,13
skozi,12
izvajanje,12
smer,12
zagotavljanje,12
premoženje,12
način,12
glaven,12
stvar,12
družba,12
ti,12
milijon,12
tukaj,12
projekt,12
smca,12
zavod,12
posamezen,12
vsak,12
2014,12
zadnji,12
kmetija,12
poudariti,11
poseben,11
haloza,11
sodelovanje,11
majhen,11
želeti,11
znanje,11
sekretarka,11
si,11
urediti,11
naslednji,11
minister,11
oblika,11
mali,11
konec,11
obravnavati,11
ključen,11
celota,11
pozitiven,11
amandmajati,11
predstavljati,11
2015,11
predlagati,11
sodišče,11
njihov,11
vzrok,11
zahteva,11
zdaj,11
občina,10
določba,10
omenjati,10
govoriti,10
dodaten,10
komisija,10
zdravstven,10
namreč,10
resolucija,10
prepoved,10
varstvo,10
vzgojnoizobraževalen,10
dopolnitev,10
stanovanje,10
svet,10
stranka,10
bit,10
poleg,10
širok,10
praven,10
res,10
človek,10
okrog,10
vzpostavitev,10
učiteljev,10
zakonodaja,10
predlagatelj,9
ever,9
financiranje,9
energija,9
prenos,9
odbor,9
letos,9
deležnik,9
kultura,9
političen,9
odločba,9
gospodarski,9
varuh,9
določati,9
zakaj,9
prostorski,9
strategija,9
namestitven,9
vsebinski,9
delodajalec,9
nizek,9
reklo,9
celoten,9
zveza,9
pogodba,9
obravnava,9
zaključiti,9
obseg,9
najbolj,9
trg,9
podeželje,9
les,9
ustaven,9
vedno,9
poučevanje,9
omogočiti,9
trenuten,9
aktualen,8
pridobiti,8
končen,8
sistemski,8
prispevati,8
ureditev,8
stanovanjski,8
znašati,8
varnost,8
visokošolski,8
predmeten,8
sprejetje,8
začetek,8
dati,8
ugotavljati,8
kratek,8
vseeno,8
gospod,8
površina,8
korak,8
upravičen,8
moj,8
uvedba,8
upoštevati,8
šport,8
osnova,8
predsednica,8
srednji,8
podlaga,8
vpliv,8
uporaba,8
morala,8
moderen,8
vozilo,8
proračun,8
dan,8
mnenje,8
dopolnjevanje,8
posameznik,8
organizacija,8
opredeliti,8
razlika,8
točka,8
vplivati,8
družben,7
postopek,7
naprava,7
organizem,7
izražati,7
splošen,7
okvir,7
infrastruktura,7
uvod,7
dejstvo,7
prehrana,7
vajenec,7
sicer,7
zagotoviti,7
ustvarjati,7
vrtec,7
vezan,7
najprej,7
informacija,7
dopolnjevati,7
spraševati,7
reševanje,7
status,7
konkreten,7
državljan,7
ob,7
takrat,7
tu,7
vir,7
razmerje,7
eden,7
verjeten,7
enkrat,7
spodbujanje,7
spodbuda,7
seme,7
strateški,7
dobiček,7
vloga,7
nad,7
poslanec,7
namen,7
2010,7
zmanjšanje,7
dodati,7
podpredsednik,7
hvala,7
tolik,7
zagotovljen,7
podneben,7
aktivnost,7
predstavitev,7
današnji,7
begunec,7
urejati,7
razvojen,7
pripraviti,7
pridelava,7
trenutek,7
večina,6
raziskava,6
red,6
seja,6
podpora,6
politika,6
vrsta,6
opravljati,6
dom,6
temeljen,6
znanstven,6
uprava,6
nadalje,6
kritičen,6
pobuda,6
nosilec,6
voda,6
pristop,6
enoten,6
dostop,6
eka,6
načeti,6
lesen,6
vodstvo,6
1,6
strošek,6
izbira,6
povečevati,6
prositi,6
slab,6
izjemen,6
unija,6
manj,6
naveden,6
proizvodnja,6
članov,6
cena,6
jasen,6
vidik,6
vpisan,6
območje,6
razpis,6
veljaven,6
2020,6
nanašati,6
cesten,6
zadovoljstvo,6
kmet,6
pomoč,6
samooskrba,6
namenjen,6
konferenca,6
delavec,6
pripravljen,6
promet,6
pouk,6
interes,6
pokazati,6
sprejeti,6
poudarjati,6
prehod,6
prioriteta,6
dopolniti,6
predvidevati,6
zdeti,6
zajem,6
nadzor,6
delovati,6
notranji,6
videti,5
človekov,5
ime,5
koalicija,5
usklajen,5
opisnik,5
zapisan,5
izobrazba,5
oblikovati,5
družina,5
vsaj,5
predviden,5
preprečevanje,5
geografija,5
izjava,5
večkrat,5
verjeti,5
članica,5
učinek,5
zgolj,5
normalen,5
energetski,5
faza,5
ponoven,5
omejevanje,5
upati,5
onesnaževanje,5
koalicijski,5
otrokov,5
izpostavljen,5
skrb,5
10,5
izpostaviti,5
praksa,5
zanimati,5
ekonomski,5
ostajati,5
zagotavljati,5
zaposlen,5
temeljit,5
pod,5
zavedati,5
januar,5
proti,5
participacija,5
odnos,5
vrednost,5
najti,5
mednaroden,5
predsedujoč,5
učinkovit,5
enak,5
prizadevati,5
kadrovski,5
september,5
rezultat,5
20,5
uresničevanje,5
uvajanje,5
uspel,5
noveti,5
izhodišče,5
79,5
določiti,5
proces,5
etičen,5
brezposelnost,5
prebivalec,5
celovit,5
podoben,5
ovira,5
sprejet,5
zofv,5
funkcija,5
čeprav,5
priporočati,5
malica,5
reševati,5
odgovor,5
raba,5
potrebovati,5
približen,5
ura,5
uspešen,5
pridobljen,5
pridelovalec,5
le,5
prisotnost,5
hektar,5
dneven,5
kljub,5
oskrba,5
omejitev,5
predstavnik,5
naraven,5
herbicid,5
poznavanje,4
vključiti,4
položaj,4
lastnik,4
potencialen,4
dejavnik,4
solastnina,4
odstotek,4
odstavek,4
tretji,4
zgoditi,4
trend,4
povzeti,4
učinkovitost,4
realizacija,4
ustava,4
odjemalec,4
19,4
podjetje,4
priti,4
odkup,4
težek,4
tveganje,4
sekretar,4
predloga,4
javnost,4
usposobljenost,4
ocenjevati,4
isti,4
posek,4
njen,4
izdelek,4
nadaljevanje,4
podati,4
nivo,4
rok,4
prednost,4
jezik,4
institucija,4
subvencija,4
kolikor,4
povezan,4
stališče,4
učenje,4
fizičen,4
presegati,4
predstaviti,4
18,4
vedeti,4
družinski,4
pristopiti,4
primerjava,4
povečanje,4
razvijanje,4
meja,4
potekati,4
zelen,4
nastal,4
kriterij,4
dovoliti,4
doseči,4
okoli,4
sposobnost,4
bolan,4
soglasje,4
spretnost,4
oblikovanje,4
osnutek,4
mesec,4
delen,4
starost,4
ocena,4
strpnost,4
usmeritev,4
register,4
izpolnjevati,4
breza,4
pristojen,4
hiter,4
zmanjšati,4
gospodarjenje,4
pregled,4
akcijski,4
umeščanje,4
misel,4
temelj,4
zbirka,4
odločitev,4
pozdrav,4
srednješolski,4
poslanka,4
vabiti,4
besedilo,4
bolnišnica,4
e,4
koncesionar,4
fond,4
prenehanje,4
zaščita,4
37,4
vključevanje,4
tematika,4
priporočiti,4
meter,4
2017,4
2016,4
izbiren,4
izkazovati,4
okoljski,4
pridelati,4
nekje,4
kdaj,4
usposabljanje,4
vedenje,4
aktiven,4
dogajati,4
spregovoriti,4
njegov,4
storitev,4
kompetence,4
novel,4
tradicija,4
nalog,4
demokratičen,4
posegati,4
kubičen,4
krepitev,4
gimnazijski,4
lasten,4
ohraniti,3
nega,3
osredotočiti,3
slika,3
postopen,3
semenski,3
pravilen,3
zadosten,3
odziv,3
nepravilen,3
uresničitev,3
vladen,3
dolžnost,3
odpaden,3
pogost,3
spremeniti,3
ozreti,3
las,3
ostati,3
ustanova,3
zahteven,3
trajen,3
darilen,3
operativen,3
sled,3
rs,3
izkušnja,3
kurikulum,3
kajti,3
priporočilo,3
mena,3
