Priimek,Števec
prikl,4
tomić,6
trček,13
ban,0
cink,0
ferluga,3
kavčič,0
kotnik,0
prelog,0
ranc,0
šergan,0
zorčič,23
dekleva,1
brglez,3
košnik,0
horvat,17
koleša,11
kramar,2
matić,13
murgel,35
rajić,2
shaker,0
dolinšek,11
škodnik,0
škopac,0
zajc,1
zorman,0
gantar,0
hainz,3
hršak,0
kotnik,0
levičar,2
battelli,1
breznik,2
brinovšek,0
grims,11
irgl,13
lep,520
logar,1
mahnič,2
podkrajšek,0
pojbič,1
šircelj,7
muršič,12
nemec,78
horvat,17
vrtovec,6
kovačič,6
hanžek,18
kordiš,3
škoberne,10
vilfan,6
veber,12
krajnc,0
janša,231
göncz,1
tanko,9
novak,23
han,4
sluga,11
tonin,5
jurša,10
gorenak,12
vervega,0
potočnik,1
kopmajer,7
žibert,4
godec,2
krivec,5
lisec,1
pogačnik,5
žnidar,0
dimic,2
tašner,2
bizjak,1
lipicer,7
möderndorfer,63
verbič,17
mesec,203
čuš,0
laj,0
ljubič,0
počkaj,0
bratušek,39
lah,6
dobovšek,23
bačič,1
klanjšček,0
radič,9
tabaković,2
