Beseda,Števec
biti,18707
jesti,12447
ta,11152
da,7555
in,6720
pa,6543
v,5712
ne,5305
jaz,4360
na,4298
on,3685
se,3663
ki,3191
za,3032
imeti,2826
ti,2792
tak,2411
tudi,2307
ali,2043
če,1958
kaj,1902
vedeti,1827
ampak,1685
tisti,1677
reklo,1635
sem,1630
ker,1615
ves,1558
še,1540
o,1465
kar,1433
kot,1397
potem,1240
lahek,1199
sodišče,1193
s,1190
let,1188
po,1157
iti,1145
gospoda,1090
državen,1089
zakon,1052
zadeva,1028
z,1013
en,967
zdaj,955
ko,936
povedati,936
–,920
že,909
drug,909
nek,908
seveda,880
tam,852
kak,842
vlada,826
saj,823
torej,795
nič,787
sam,784
iz,783
narediti,766
govoriti,763
oda,760
gospod,746
gospa,742
do,735
misliti,725
minister,690
človek,653
pri,651
država,620
zakaj,618
kakšen,615
več,610
ja,601
slovenija,597
nekaj,596
mora,582
dati,579
zbor,578
predsednik,576
danes,557
reči,556
čas,544
moj,538
pogledati,536
sodnik,534
zato,534
priti,525
lep,520
policija,512
treba,494
videti,492
res,487
zelo,478
pravi,474
jasen,469
vaš,465
kdo,461
pravosodje,457
morati,457
tukaj,454
gledati,450
tisoč,441
si,439
dobiti,435
naš,432
noben,427
pred,424
velik,423
dober,422
verjeten,418
kateri,418
ministrstvo,418
mena,417
soden,416
hvala,414
podatek,411
svoj,403
naprej,402
pač,402
vprašanje,400
svet,398
red,396
sedaj,390
političen,383
vrhoven,380
želeti,379
dan,379
reč,374
stvar,374
mali,373
moči,373
problem,371
naj,365
poslanec,364
del,352
takrat,350
komisija,349
tožilec,348
dva,348
namreč,346
prav,340
primer,334
prej,330
pravica,328
mogoč,323
stran,319
postopek,316
ever,313
služba,309
bit,308
ustaven,307
govorilo,307
vsaj,306
ministrica,304
predlagati,299
tu,295
zaradi,292
isti,292
oni,278
slovenski,277
tožilstvo,271
nekdo,268
seja,268
vsak,266
sicer,265
zgoditi,264
dalja,261
sklep,256
morala,254
razumeti,252
nov,248
koalicija,248
razlog,247
pomen,246
prvi,244
stanje,243
leto,241
ostal,241
delati,240
proti,240
predlog,240
situacija,235
meja,234
konec,234
lepahvala,233
janša,231
praviti,231
člen,230
kolik,228
med,228
sistem,227
trije,227
ozir,227
način,226
govor,223
poslanski,223
fišer,222
mnenje,221
enkrat,221
takšen,219
oblast,219
dejanje,218
cel,215
verjeti,213
naslednji,212
evropski,211
sprejeti,210
sodstvo,210
korupcija,208
stranka,206
mesec,203
sekretar,202
podpreti,201
bolj,201
število,201
delo,200
odgovor,199
nit,198
smeti,197
tolik,197
težava,196
klemenčič,193
notranji,193
poročilo,192
pravzaprav,192
čist,191
kjer,190
oseba,190
sploh,189
skratka,189
mesto,188
prositi,185
sodnikov,185
državljan,183
nadaljevanje,183
kje,182
področje,182
generalen,182
številka,182
milijon,182
janez,182
policist,181
napisati,181
dokument,177
odbor,175
glede,175
nekateri,175
potreben,174
vedno,174
nikoli,173
vendar,172
sodnica,169
strinjati,168
človekov,168
praven,167
piš,167
zdeti,164
evropa,164
no,164
ugotoviti,163
republika,163
manj,162
enak,160
beseda,160
popolnoma,159
hud,159
javen,159
odločitev,159
koruptiven,159
politika,157
odgovoriti,157
skupina,156
dr,156
kazniv,156
spoštovati,154
pričakovati,154
tikati,154
odločiti,150
točka,150
ustava,149
javnost,148
policijski,148
razprava,146
zakonodaja,144
početi,144
ravnanje,143
neodvisen,142
pet,142
poslati,142
veljati,141
nadzor,140
upati,139
spet,139
visok,138
denar,138
glasovati,137
skupaj,136
nazaj,136
kršiti,136
zgodba,135
slab,135
mandati,135
opozicija,133
hoteti,133
deloven,131
imenovati,130
sds,129
njegov,129
plača,127
drugače,127
točen,126
kdaj,126
nezakonit,126
ob,126
levi,125
takle,124
sprejet,124
sodba,123
ime,123
preprečevanje,122
breza,122
a,122
spomniti,122
možnost,121
odgovornost,121
vprašati,120
banka,120
kpka,119
opozarjati,118
sredstvo,118
2012,118
sedeti,118
predvsem,118
približen,118
veja,118
volitve,118
nastop,116
organ,116
spremeniti,116
zanimiv,116
zadnji,116
kandidat,115
ravnati,114
poslušati,114
predsednica,113
pod,113
pravosoden,112
slišati,112
pol,112
star,111
vrsta,111
oprostiti,110
preprost,109
upraven,109
nihče,109
včeraj,109
10,109
predstavljati,109
vzeti,108
tema,108
imenovanje,107
parlament,107
kazenski,107
dogajati,107
sodelovati,107
normalen,105
vesel,105
pogoj,105
spraševati,104
…,103
štirje,102
narobe,102
medij,101
šef,101
8,101
postaviti,101
poznati,101
6,100
eden,100
pomemben,99
najti,99
član,99
direktor,98
vena,98
prebrati,97
vendarle,97
kratek,97
okoli,97
k,96
nad,96
odgovoren,94
ura,94
čez,94
drugačen,94
kršitev,93
policistov,93
prvič,93
2013,92
zahteva,92
ljubljana,91
predlagatelj,91
imenovan,91
znati,91
smisel,91
smca,91
dneven,90
ukvarjati,90
masleša,90
današnji,90
oseben,90
pripravljen,90
odnosen,90
sprememba,90
začeti,90
najprej,89
resen,89
nerazumljiv,89
5,89
odločati,88
notri,88
večina,88
12,88
organizacija,88
mnog,87
pisati,86
obstajati,86
zalar,86
skušati,86
15,85
zlasti,85
glasovanje,85
amand,84
dol,84
dejstvo,84
