Priimek,Števec
prikl,2
tomić,4
trček,8
ban,0
cink,0
ferluga,6
kavčič,0
kotnik,0
prelog,0
ranc,2
šergan,0
zorčič,0
dekleva,3
brglez,1
košnik,0
horvat,0
koleša,2
kramar,0
matić,1
murgel,1
rajić,0
shaker,0
dolinšek,1
škodnik,0
škopac,0
zajc,1
zorman,0
gantar,0
hainz,1
hršak,0
kotnik,0
levičar,0
battelli,0
breznik,1
brinovšek,0
grims,2
irgl,1
lep,65
logar,0
mahnič,0
podkrajšek,3
pojbič,4
šircelj,0
muršič,0
nemec,4
horvat,0
vrtovec,0
kovačič,0
hanžek,2
kordiš,0
škoberne,6
vilfan,2
veber,0
krajnc,0
janša,23
göncz,0
tanko,0
novak,0
han,5
sluga,0
tonin,0
jurša,0
gorenak,2
vervega,0
potočnik,0
kopmajer,0
žibert,1
godec,0
krivec,3
lisec,1
pogačnik,1
žnidar,3
dimic,0
tašner,0
bizjak,9
lipicer,0
möderndorfer,0
verbič,3
mesec,77
čuš,2
laj,0
ljubič,0
počkaj,0
bratušek,1
lah,2
dobovšek,0
bačič,1
klanjšček,0
radič,0
tabaković,3
