Beseda,Števec
biti,6069
in,4519
jesti,3985
v,3056
ta,3024
da,2895
za,2716
na,2120
se,2072
ki,1771
ne,1540
pa,1333
tudi,1061
on,1055
jaz,883
kot,875
o,808
s,807
z,799
tak,757
imeti,752
ves,677
lahek,614
ali,584
še,528
zakon,524
po,508
kar,494
let,485
do,470
če,457
pri,450
sam,444
oda,436
zato,428
drug,425
iz,421
vlada,417
slovenija,411
že,409
naš,396
javen,387
velik,363
ker,354
iti,340
ampak,333
tukaj,317
kateri,314
država,303
beseda,301
državen,299
ministrstvo,281
en,280
sredstvo,279
zaradi,275
ti,271
svoj,264
predlog,263
del,257
človek,253
vedeti,253
zelo,247
več,246
kak,243
ko,242
naj,241
lipica,236
evropski,232
kaj,230
seveda,221
kultura,221
tisti,221
čas,220
primer,216
program,214
pravica,212
slovenski,209
ever,205
otrok,202
dober,200
pred,200
si,197
med,197
torej,197
danes,196
potem,195
področje,194
združen,193
mora,189
stran,188
predlagati,187
podjetje,185
treba,184
levica,184
kobilaren,183
minister,183
morati,182
problem,182
vendar,180
bolj,179
kakšen,177
glede,176
sprememba,176
kmetijstvo,173
vedno,172
nov,171
raven,171
sem,169
ter,168
kajti,167
konopati,165
milijon,165
vprašanje,164
socialen,164
hvalahvala,163
zdaj,163
člen,161
pravi,159
spoštovan,158
cel,157
skupina,152
ukrep,148
kdo,147
reklo,146
zakaj,145
kolega,144
moči,143
deloven,143
leto,142
saj,141
prav,141
k,140
breza,139
želeti,137
nekaj,136
dan,135
morala,135
predvsem,133
razvoj,133
sklep,131
vsak,130
pomen,130
takšen,129
videti,126
tisoč,126
delavec,126
kjer,125
dobiti,125
naprej,125
jasen,125
stvar,124
ozir,123
kmetijski,122
–,122
potreben,121
proračun,121
prvi,121
le,120
dva,120
zavod,120
zadnji,120
podpreti,119
noben,119
pomemben,119
ob,119
hvala,118
zaposlen,118
priti,117
političen,117
odbor,116
namen,115
družba,115
sploh,114
njihov,114
razprava,114
visok,114
delo,113
svet,113
skupnost,112
kulturen,112
nek,111
gospodarski,111
namreč,110
sklad,109
način,109
misliti,108
denar,108
vaš,108
industrijski,107
interes,107
politika,105
res,105
seja,104
bit,103
pod,103
govoriti,102
slab,102
predsednik,102
možnost,101
zagotoviti,101
rešitev,101
nekateri,101
republika,101
vrsta,98
dejavnost,98
popolnoma,96
mesto,96
poslanski,96
stanje,95
zbor,95
sicer,95
premoženje,95
prej,95
mnenje,94
amand,94
njen,93
mogoč,92
podlaga,92
delati,92
proti,92
koalicija,92
gospoda,91
zanimati,91
nujen,91
hrana,90
zemljišče,90
moj,90
nič,89
konec,89
rastlina,88
gozd,88
povedati,88
pogoj,87
čeprav,86
izvajanje,86
kmet,84
medij,84
narediti,83
organizacija,83
vojen,83
ekološki,83
skratka,83
dutba,82
agraren,82
sprejeti,82
podatek,82
sprejet,81
javnost,81
finančen,81
dati,80
prositi,80
služba,80
upravljanje,80
določen,80
vsaj,79
izdelek,78
naslednji,78
investicija,77
položaj,77
odgovor,77
mesec,77
strinjati,77
podoben,77
ministrica,75
žival,75
zakonodaja,75
unija,75
glasovati,75
kolegica,74
plača,74
najbolj,74
strokoven,72
strošek,72
reči,72
strategija,72
primeren,72
verjeti,71
manj,71
sodišče,71
nikakor,71
spet,70
poročilo,70
ostal,70
občina,69
majhen,69
nadzor,69
postopek,69
nit,69
sedaj,69
gospodarstvo,69
komisija,68
trije,68
pridelava,68
praven,67
član,67
nihče,67
različen,67
konopljati,67
pogodba,66
konj,66
1,66
dodaten,66
očiten,66
mali,65
2014,65
a,65
stranka,65
enak,65
mnog,65
lep,65
težek,64
6,64
predstavljati,64
2,63
večina,63
sistem,63
isti,63
vsebina,63
načrt,63
postati,62
praksa,62
dajati,62
slišati,62
potrebovati,62
dejstvo,62
kratek,62
pripravništvo,62
kljub,62
takrat,62
začeti,62
podpora,61
kolik,61
zaseben,60
storitev,60
ureditev,60
obravnava,60
predstavnik,60
razlog,59
šola,59
določati,59
poleg,59
dovolj,59
dolg,59
20,59
obravnavati,59
okolje,59
skupen,58
zahteva,58
nizek,58
sektor,58
kazati,58
mlad,58
priprava,58
ugotavljati,57
zadeva,57
škoda,57
delež,57
privatizacija,57
konkreten,57
uporaba,57
tam,57
tolik,57
njegov,57
trenuten,57
posledica,56
vrednost,56
kdaj,56
skoraj,56
varstvo,56
amandmaj,56
rešiti,56
delovanje,55
razvojen,55
subvencija,55
enkrat,55
število,55
območje,54
trg,54
zgodovina,54
svetoven,54
dejanski,54
življenje,54
nadaljevanje,54
nacionalen,53
omeniti,53
živeti,53
odgovornost,53
poseben,53
potrošnik,53
pomoč,53
spraševati,53
edin,53
resolucija,52
težava,52
tu,52
leten,52
genski,52
10,52
sds,52
poslanec,52
evropa,52
pričakovati,52
prehrana,51
vloga,51
razumeti,51
dovoljen,51
domač,51
odgovoren,51
nad,51
plačilo,51
ključen,51
hoteti,51
možen,51
spremenjen,50
2013,50
uredba,50
pristojen,50
ime,50
upoštevati,50
reševati,50
projekt,50
točka,50
banka,49
davčen,49
namenjen,49
potreba,49
nasprotovati,49
praviti,49
direktor,49
človekov,49
pravzaprav,49
površina,48
kje,48
oblika,48
2015,48
rast,48
izvajati,48
cena,48
imenovan,48
zveza,48
rok,48
zdravje,48
tretji,47
amandmajati,47
uporabljati,47
ugotoviti,46
seme,46
račun,46
oseba,46
zdeti,46
podpirati,46
vsebnost,46
omogočati,46
prihodek,46
turizem,45
star,45
gospa,45
prepovedan,45
status,45
lastnik,44
meja,44
povečati,44
prodaja,44
sistemski,44
nepremičnina,44
posebej,44
splošen,44
zgoditi,44
hud,44
zmanjšati,44
upati,43
2016,43
lasten,43
oba,43
zavedati,43
hkrati,43
revščina,43
reč,43
postaviti,43
izobraževanje,43
gospod,43
avstrija,43
mena,42
zdravstven,42
razpis,42
koalicijski,42
dokument,42
prebivalec,42
pozitiven,42
kapital,42
gledati,42
začetek,42
zgodovinski,42
odločitev,42
dogajati,42
lokalen,41
današnji,41
ustrezen,41
produkcija,41
thca,41
opozoriti,41
slovenec,41
cilj,41
čim,41
last,41
lipicanec,40
obstajati,40
stališče,40
židan,40
vidik,40
šolstvo,40
namesto,40
3,40
vendarle,40
predlagatelj,40
določba,40
prenos,40
skrb,40
nikoli,40
pač,40
stopnja,40
opravljati,39
učinek,39
zgolj,39
sd,39
hvalaspoštovan,39
2012,39
tehničen,39
trenutek,39
meso,39
članov,39
podneben,39
spremeniti,39
korupcija,39
delovati,39
skupaj,38
najti,38
davek,38
prenesti,38
konopljin,38
ponoven,38
drog,38
dovoliti,38
tržen,38
boj,38
urediti,38
verjeten,38
celoten,38
proizvodnja,38
podeželje,38
volja,37
dolgoročen,37
zakonski,37
izjemen,37
porabiti,37
vesel,37
5,37
poudarjati,37
letos,37
gozdarstvo,37
prehranski,37
čist,37
rada,37
žal,37
veriga,37
voda,37
najprej,36
opozarjati,36
minimalen,36
kupovati,36
omenjen,36
okoli,36
predsednica,36
vprašati,35
pripravljen,35
konoplja,35
nekakšen,35
veljati,35
posloven,35
določiti,35
30,35
prost,35
odločiti,35
bolje,35
panoga,35
posamezen,34
les,34
oseben,34
skušati,34
prihodnost,34
ogromen,34
brezplačen,34
izgubiti,34
prehramben,34
ekonomski,34
organ,34
poudariti,34
varnost,34
zaposlitev,33
predelava,33
žeti,33
drugačen,33
nekdo,33
analiza,33
pravilnik,33
starš,33
dom,33
pobuda,33
financirati,33
nekak,33
red,33
financiranje,33
družina,33
uprava,33
gojenje,33
štirje,33
prostor,32
obrazložitev,32
sporazum,32
upravičen,32
odločati,32
pogledati,32
noveti,32
inšpektor,32
dvig,32
politik,32
vložiti,32
številka,32
smeti,32
finance,32
18,32
obdobje,32
situacija,32
vlakno,32
prejšnji,32
poznati,32
pridelati,32
računski,31
oprostiti,31
kmetija,31
poročiti,31
spodbujati,31
kader,31
center,31
višina,31
nanašati,31
9,31
pokazati,31
končen,30
nadomestiti,30
argument,30
proračunski,30
zgodba,30
okvir,30
žrtev,30
razmera,30
pravilo,30
sodelovanje,30
gostinski,30
sprejetje,30
glaven,30
kakovosten,30
močen,30
25,30
vpliv,30
kmetov,30
informacija,30
citirati,30
pogost,29
šele,29
opravljanje,29
2011,29
storiti,29
varčevanje,29
državljan,29
zagotavljanje,29
prodajati,29
pogovarjati,29
odpreti,29
11,29
pas,29
parlament,29
pripraviti,29
korak,29
jezik,29
resnica,29
zainteresiran,29
sodelovati,29
gojiti,28
nadaljnji,28
pravičen,28
problematika,28
lani,28
standard,28
zapisan,28
večkrat,28
skozi,28
osnoven,28
zahtevati,28
ohranjati,28
dodati,28
zdravstvo,28
nalog,28
preveč,28
kriza,28
pol,28
poln,28
prag,28
rtv,28
poslušati,28
knjiga,27
obseg,27
2017,27
ukvarjati,27
znova,27
praktičen,27
preprečevanje,27
sporen,27
povečanje,27
mednaroden,27
toda,27
ustanovitev,27
govor,27
probanka,27
7,27
sti,27
živilo,27
negativen,27
jugoslavija,27
pripravnik,27
radi,27
pomagati,27
celota,27
približen,27
vrniti,27
rejski,27
zmanjševati,27
meniti,27
odvisen,27
naveden,27
sklicevati,27
material,27
praznik,27
povezan,26
doseči,26
neoliberalen,26
televizija,26
pridelek,26
mera,26
omejitev,26
zaščita,26
roka,26
ustvarjalec,26
neposreden,26
cerar,26
preden,26
uraden,26
neodvisen,26
reden,26
ustava,26
načelo,26
znan,26
prazen,26
demokracija,26
medijski,26
režim,26
pridobiti,26
no,26
plačati,26
natančen,26
ostati,26
primerjava,26
januar,26
oddelek,26
dejanje,26
rezultat,26
fašizem,26
thcje,26
hotelski,26
plačevati,26
smisel,26
razmisliti,26
prilagajanje,25
ogrožen,25
oni,25
ura,25
poklic,25
številen,25
resen,25
delavski,25
istospolen,25
rebalans,25
pogajanje,25
hektar,25
živ,25
plačan,25
preko,25
aktivnost,25
15,25
tuj,25
nedopusten,25
samozaposlen,25
revizionizem,25
širok,25
raba,25
razen,25
pritisk,25
navesti,25
prepričan,25
nazaj,25
bistven,25
gozden,25
vsekakor,25
ohranjanje,25
krajina,25
80,25
zagovarjati,25
gledališče,25
popoln,24
razmišljati,24
tveganje,24
d,24
kvaliteta,24
cesta,24
glasba,24
prispevek,24
dr,24
dovoljenje,24
e,24
koncesija,24
poslovanje,24
dediščina,24
moč,24
znesek,24
bistvo,24
janez,24
predvidevati,24
fiskalen,24
včasih,24
ustanova,24
regija,24
zagotavljati,24
odpirati,24
krma,23
zunanji,23
janša,23
hrvaški,23
avdiovizualen,23
normalen,23
kmetovanje,23
narava,23
odstrel,23
sposoben,23
tujina,23
pošten,23
varčevalen,23
izkušnja,23
sorta,23
12,23
odnos,23
postaja,23
kršitev,23
pomanjkanje,23
delodajalec,23
inšpekcijski,23
naraven,23
razpravljati,23
izreden,23
čez,23
zategovanje,23
povzročiti,23
precej,23
vseeno,23
umetnik,23
urejati,23
gradnja,23
sedanji,23
stoletje,23
razlika,23
reševanje,22
nadaljevati,22
kakršenkoli,22
omogočiti,22
pomeniti,22
preprečiti,22
padel,22
funkcionar,22
čakati,22
posledičen,22
oblast,22
nameravati,22
100,22
logika,22
dokler,22
ovira,22
izvajalec,22
razred,22
sila,22
kvaliteten,22
doba,22
