Priimek,Števec
prikl,1
tomić,4
trček,11
ban,2
cink,0
ferluga,3
kavčič,3
kotnik,1
prelog,0
ranc,0
šergan,2
zorčič,3
dekleva,5
brglez,5
košnik,0
horvat,7
koleša,0
kramar,1
matić,3
murgel,0
rajić,0
shaker,0
dolinšek,15
škodnik,2
škopac,0
zajc,2
zorman,2
gantar,0
hainz,6
hršak,0
kotnik,1
levičar,1
battelli,0
breznik,27
brinovšek,0
grims,7
irgl,5
lep,46
logar,0
mahnič,0
podkrajšek,0
pojbič,4
šircelj,4
muršič,2
nemec,27
horvat,7
vrtovec,0
kovačič,0
hanžek,0
kordiš,16
škoberne,8
vilfan,4
veber,20
krajnc,0
janša,72
göncz,0
tanko,8
novak,1
han,13
sluga,6
tonin,29
jurša,6
gorenak,11
vervega,0
potočnik,3
kopmajer,1
žibert,0
godec,3
krivec,2
lisec,3
pogačnik,0
žnidar,1
dimic,0
tašner,0
bizjak,11
lipicer,2
möderndorfer,9
verbič,3
mesec,105
čuš,14
laj,0
ljubič,0
počkaj,0
bratušek,8
lah,0
dobovšek,0
bačič,3
klanjšček,0
radič,0
tabaković,0
