Priimek,Števec
prikl,15
tomić,6
trček,87
ban,4
cink,1
ferluga,25
kavčič,0
kotnik,5
prelog,8
ranc,9
šergan,2
zorčič,11
dekleva,4
brglez,22
košnik,0
horvat,35
koleša,10
kramar,1
matić,16
murgel,6
rajić,3
shaker,0
dolinšek,14
škodnik,2
škopac,4
zajc,2
zorman,2
gantar,6
hainz,14
hršak,0
kotnik,5
levičar,20
battelli,1
breznik,33
brinovšek,4
grims,43
irgl,8
lep,931
logar,19
mahnič,11
podkrajšek,3
pojbič,11
šircelj,25
muršič,5
nemec,19
horvat,35
vrtovec,6
kovačič,1
hanžek,19
kordiš,12
škoberne,12
vilfan,8
veber,27
krajnc,2
janša,138
göncz,15
tanko,48
novak,3
han,29
sluga,14
tonin,34
jurša,6
gorenak,47
vervega,0
potočnik,6
kopmajer,0
žibert,9
godec,8
krivec,43
lisec,33
pogačnik,25
žnidar,12
dimic,4
tašner,0
bizjak,12
lipicer,13
möderndorfer,54
verbič,28
mesec,483
čuš,27
laj,6
ljubič,0
počkaj,0
bratušek,54
lah,44
dobovšek,12
bačič,1
klanjšček,15
radič,5
tabaković,4
