Beseda,Števec
biti,54906
ta,38171
jesti,32036
in,29832
v,27100
da,26414
se,22343
na,17655
za,16217
ki,15165
ne,13629
pa,12796
tudi,9497
on,9390
jaz,9349
imeti,7924
nek,7845
kot,7164
o,7002
tak,6858
s,6234
če,6013
z,5549
še,5271
ali,4998
ampak,4489
lahek,4434
že,4387
ves,4363
kar,4346
ker,4284
po,4085
sam,4062
drug,4030
iti,3915
zakon,3909
iz,3877
slovenija,3570
sem,3515
let,3361
do,3331
tukaj,3329
država,3238
vlada,3213
oda,2913
vedeti,2879
pri,2753
en,2752
zelo,2677
kaj,2674
seveda,2655
mali,2624
zdaj,2566
ko,2547
državen,2500
tisti,2449
kateri,2401
zato,2387
kak,2340
velik,2289
naš,2258
javen,2238
človek,2206
združen,2176
potem,2139
ozir,2116
več,2035
pač,2019
levica,2010
stran,2005
pravi,1998
reklo,1954
nekak,1951
vprašanje,1948
misliti,1944
zaradi,1921
nekaj,1919
del,1912
evropski,1899
svoj,1893
beseda,1883
bolj,1806
ti,1805
kakšen,1754
dober,1744
zadeva,1735
primer,1727
danes,1670
predlog,1649
glede,1641
način,1581
si,1578
podjetje,1545
naprej,1542
predlagati,1536
pravica,1520
morati,1515
mora,1506
banka,1501
slovenski,1492
naj,1488
ministrstvo,1485
problem,1482
–,1481
povedati,1475
dva,1452
socialen,1451
tu,1444
čas,1444
ever,1438
govoriti,1429
treba,1420
mogoč,1360
raven,1357
pred,1352
med,1338
sredstvo,1309
priti,1294
zakaj,1284
prvi,1279
zbor,1271
politika,1254
nov,1243
reči,1238
kolega,1220
sedaj,1219
hvala,1214
cel,1213
milijon,1204
jasen,1178
videti,1161
gospoda,1158
področje,1137
seja,1133
sklep,1117
morala,1112
člen,1108
vedno,1107
moči,1092
odbor,1054
proračun,1047
slab,1035
kjer,1023
kdo,1017
ukrep,1016
stvar,1005
dati,1003
minister,997
bistvo,996
družba,989
razprava,981
dobiti,964
sicer,959
moj,959
k,950
takšen,934
lep,931
skratka,931
zdeti,928
zadnji,927
pomen,923
točka,921
verjeten,919
leto,910
deloven,908
namreč,907
podpreti,904
potreben,888
delati,886
bit,876
delavec,874
ob,874
tam,866
gospodarstvo,861
visok,854
sprememba,852
prej,850
predvsem,842
konec,841
gospodarski,838
sploh,832
dan,825
tisoč,825
narediti,824
vsaj,821
strategija,819
pogovarjati,819
kriza,818
koalicija,818
torej,811
začeti,811
razlog,805
razvoj,804
želeti,802
mesto,797
res,796
vsak,793
političen,788
dejanski,785
saj,785
finančen,776
interes,763
dolg,762
proti,762
skupina,755
hvalahvala,753
trije,749
pomemben,745
strinjati,745
hoteti,744
nit,737
zanimati,735
svet,729
unija,727
komisija,724
noben,724
zaposlen,721
gledati,721
sistem,714
postopek,705
delo,701
podoben,700
poslanec,698
plača,694
določen,686
kratek,685
vaš,676
breza,674
ter,674
pogledati,673
predsednik,671
upati,667
spet,661
odgovor,655
pod,652
njihov,647
dodaten,641
privatizacija,636
najbolj,634
manj,631
nekdo,631
