Priimek,Števec
prikl,0
tomić,0
trček,23
ban,0
cink,0
ferluga,0
kavčič,0
kotnik,0
prelog,0
ranc,3
šergan,0
zorčič,0
dekleva,1
brglez,0
košnik,0
horvat,14
koleša,0
kramar,0
matić,1
murgel,0
rajić,0
shaker,0
dolinšek,0
škodnik,3
škopac,0
zajc,1
zorman,0
gantar,0
hainz,0
hršak,0
kotnik,0
levičar,0
battelli,0
breznik,0
brinovšek,0
grims,0
irgl,0
lep,304
logar,0
mahnič,0
podkrajšek,0
pojbič,0
šircelj,0
muršič,0
nemec,6
horvat,14
vrtovec,1
kovačič,1
hanžek,2
kordiš,0
škoberne,0
vilfan,0
veber,2
krajnc,0
janša,22
göncz,0
tanko,1
novak,0
han,7
sluga,0
tonin,15
jurša,3
gorenak,2
vervega,1
potočnik,0
kopmajer,0
žibert,0
godec,0
krivec,16
lisec,2
pogačnik,1
žnidar,7
dimic,1
tašner,0
bizjak,0
lipicer,0
möderndorfer,14
verbič,0
mesec,161
čuš,0
laj,3
ljubič,0
počkaj,0
bratušek,1
lah,19
dobovšek,0
bačič,0
klanjšček,0
radič,2
tabaković,0
