Beseda,Števec
biti,13336
ta,7707
da,6811
jesti,6319
in,5339
pa,4041
v,3988
se,3957
ne,3496
na,3344
za,2579
ki,2391
imeti,2380
jaz,2330
tudi,2244
on,1632
če,1525
ker,1437
tak,1396
še,1343
kot,1325
projekt,1289
ves,1262
ali,1227
občina,1108
sam,1051
tisti,1010
s,998
z,959
ko,952
lahek,946
po,939
let,919
že,884
potem,863
nek,858
iti,805
kaj,802
kar,801
država,767
vedeti,765
velik,753
misliti,715
sredstvo,709
več,705
sem,697
drug,695
ampak,681
do,656
pri,640
oda,636
zdaj,631
iz,630
en,583
tukaj,572
nekaj,568
ozir,549
denar,523
narediti,516
kakšen,504
naš,492
vlada,478
kak,475
zakon,471
nov,465
o,456
del,444
čas,438
treba,436
povedati,427
kmet,424
dati,417
zato,409
državen,408
priti,404
zelo,399
morati,396
dober,395
ministrstvo,395
sedaj,389
mali,381
reklo,381
mora,378
potreben,378
prej,375
nič,367
kjer,365
kmetijski,365
tam,365
verjeten,363
glede,353
slovenija,353
evropski,353
dobiti,347
zemljišče,341
leto,339
milijon,330
svoj,330
pravi,326
morala,321
program,315
konec,315
bolj,306
lep,304
finančen,302
tolik,294
ti,291
cesta,291
naj,289
področje,287
pač,285
kolik,281
minister,275
ever,271
čim,270
vsak,265
res,264
delati,263
gozd,258
perspektiva,258
problem,257
proračun,257
sklep,251
stran,251
voda,248
določen,247
mogoč,243
ostal,240
pravica,235
investitor,233
videti,231
človek,229
način,229
stvar,223
moči,222
zakaj,219
dva,218
kdo,213
gradben,208
naprej,208
bit,207
govoriti,205
župan,204
tisoč,200
primer,197
zaradi,195
operativen,194
gospodarstvo,190
nekateri,190
cena,187
čez,183
dovoljenje,181
slišati,180
moj,180
prav,180
objekt,179
kateri,179
vendar,177
nekdo,177
reči,177
manj,176
situacija,176
takrat,175
si,173
plačevati,173
kolega,169
sprejet,168
hoteti,166
nadaljevanje,166
pred,166
danes,165
saj,164
skupnost,163
razvoj,163
javen,163
gospoda,162
hrana,162
mesec,161
–,161
mesto,161
enkrat,159
beseda,158
začeti,157
odpadek,156
zakonodaja,156
politika,155
lokalen,155
seveda,152
odbor,151
kmetijstvo,151
infrastruktura,149
tu,148
služba,148
drugače,148
nazaj,143
škoda,141
izvajalec,141
prostorski,140
noben,139
strošek,136
30,136
graditi,136
bistven,136
investicija,135
enostaven,135
kmetija,135
podjetje,135
občinski,135
predvsem,135
sodišče,134
plača,134
možen,134
rabiti,132
sprejeti,131
razprava,130
prostor,129
seja,129
trije,128
pogoj,127
cel,127
gledati,127
kje,126
čeprav,126
naslednji,125
rešiti,125
zemlja,124
zgraditi,124
rešitev,124
tikati,123
vaš,123
sklad,122
praviti,122
breza,122
star,122
uredba,121
tuj,121
evropa,121
večina,120
možnost,119
vprašanje,119
milijarda,119
predlagati,119
vsaj,118
hiter,117
predsednik,116
zadeva,115
lasten,115
poslanec,115
ministrica,115
zgrajen,114
poznati,114
dan,113
vrednost,112
osnova,112
pogodba,112
med,112
nihče,111
spremeniti,111
komunalen,110
teren,108
majhen,107
pogledati,107
ogromen,107
želeti,106
odločba,106
smer,106
mena,105
težek,105
takšen,105
kolikor,105
poslušati,105
kohezijski,104
20,104
podeželje,104
konkreten,103
zagotoviti,102
10,102
mnenje,101
postopek,101
ukrep,99
zadnji,99
sprememba,98
nujen,98
lastnik,97
upati,97
les,97
pol,97
izvedba,96
2015,96
čakati,96
prvi,96
namen,96
odgovor,96
bati,96
počrpati,96
porabiti,95
deloven,95
slovenski,93
slab,93
gospodarski,93
prejšnji,93
stranka,91
dosti,91
oni,90
črpanje,90
pričakovati,90
2,89
nit,89
praktičen,89
akt,89
izveden,89
cilj,89
notri,88
2016,87
pogovarjati,87
sploh,86
hvala,86
pripravljen,86
nizek,86
čist,86
prepričan,86
eden,86
zavedati,85
predpis,85
razvojen,84
center,84
skupaj,83
prispevek,83
narejen,83
politik,83
skoraj,83
zaposlen,82
dom,82
mleko,82
razumeti,81
počrpan,81
pokojnina,81
k,80
območje,80
davek,80
